Rank,Urban Area,Population Estimate (2025),1 Year Change (over 2024),Land Area (Km²),Density (P/Km²),Global Rank,Projections (2030),Projections (2050)
445,Kasaragod,219354,1.02%,47,4667,2696,238744,263552
446,Karauli,219291,1.24%,16,13706,2698,231468,279923
447,Dharmapuri,217692,0.67%,29,7507,2719,225003,239410
448,Sahjanwa,217480,1.18%,54,4027,2722,235880,285938
449,Khamgaon,216271,0.82%,26,8318,2731,224663,241308
450,Naugachia,215547,1.29%,35,6158,2738,233872,284944
451,Baraut,214706,0.95%,24,8946,2752,224823,330606
452,Mavelikkara,214688,1.03%,69,3111,2753,232493,256210
453,Bardhaman,214413,0.48%,37,5795,2761,217934,221742
454,Kishanganj,214352,0.98%,27,7939,2763,235093,297309
455,Shamli,213782,1.09%,24,8908,2773,245079,279774
456,Darauli,211985,2.67%,97,2185,2799,229665,311547
457,Koliwar,211825,2.29%,49,4323,2801,281386,363298
458,Nagapattinam,211625,1.08%,52,4070,2805,216973,226153
459,Namakkal,211231,0.57%,35,6035,2816,217171,229510
460,Kharupetia,209917,2.46%,52,4037,2832,252131,287518
461,Muvattupuzha,209875,0.76%,33,6360,2834,220679,280587
462,Gandhinagar,209534,3.55%,54,3880,2839,220879,251601
463,Shahada,209445,0.96%,23,9106,2842,219378,253073
464,Maner,209055,0.90%,37,5650,2845,228596,301788
465,Madhuban,209032,7.07%,78,2680,2846,269915,363615
466,Udgir,208827,0.47%,19,10991,2854,213729,226945
467,Waladgaon,208139,0.47%,32,6504,2862,218620,264455
468,Moga,207709,1.30%,29,7162,2868,217882,239700
469,Srikakulam,207661,0.51%,28,7416,2870,210022,212675
470,Kovilpatti,207239,0.56%,24,8635,2874,213064,225665
471,Balangir,206728,0.70%,22,9397,2883,215558,237111
472,Buldhana,206544,0.58%,19,10871,2887,211069,220685
473,Bongaigaon,206362,0.91%,38,5431,2889,220632,237261
474,Pampore,206302,1.97%,26,7935,2890,221517,311278
475,Nagaur,205380,1.32%,29,7082,2905,213530,255258
476,Kasganj,205011,1.91%,30,6834,2911,213552,244908
477,Udhampur,204468,0.84%,42,4868,2917,216376,233722
478,Alauli,204361,3.29%,58,3523,2919,217954,277965
479,Asarganj,204072,6.65%,60,3401,2924,229434,392159
480,Dumka,203306,0.61%,23,8839,2934,207956,218009
481,Shimla,202908,0.29%,16,12682,2937,209055,215628
482,Pusad,202862,0.54%,21,9660,2938,208313,222005
483,Perinthalmanna,202201,0.91%,35,5777,2945,251272,277139
484,Supaul,202024,2.29%,30,6734,2948,295877,442143
485,Gola Gokarannath,201963,0.83%,16,12623,2950,213470,233092
486,Madanapalle,201938,0.51%,19,10628,2951,209684,225328
487,Forbesganj,201833,1.12%,24,8410,2953,218196,264778
488,Bhuj,201616,0.78%,37,5449,2956,230728,250237
489,Vaniyambadi,201496,1.01%,23,8761,2961,213281,231766
490,Chalisgaon,200847,0.94%,19,10571,2978,210122,238520
491,Bhabua,200740,1.61%,19,10565,2982,216301,260482
492,Gamharia,200505,3.69%,91,2203,2985,243311,306764
493,Himatnagar,200338,0.78%,29,6908,2988,209641,230842
494,Mejia,200018,0.86%,34,5883,2993,205083,218553
495,Kanauta,199871,1.04%,44,4543,2995,211772,246239
496,Pudukkottai,199239,0.54%,24,8302,3002,204630,222801
497,Jhanjharpur,199196,3.31%,45,4427,3003,213979,285722
498,Jhunjhunu,198109,0.71%,30,6604,3021,208166,229872
499,Ambajogai,197735,0.49%,21,9416,3024,202550,214870
500,Banswara,197615,0.87%,28,7058,3029,206136,234122
501,Taliparamba,197119,0.94%,26,7582,3034,205004,229640
502,Balasore,195551,0.59%,24,8148,3068,201380,208666
503,Rafiganj,195539,1.65%,23,8502,3070,210163,252948
504,Govardhan,194777,0.86%,17,11457,3087,226001,254617
505,Arani,194481,1.16%,25,7779,3089,208641,230000
506,Kamarkuchi,194038,0.98%,72,2695,3093,208400,275927
507,Tinsukia,193952,0.52%,26,7460,3096,199098,212973
508,Mancherial,193949,0.47%,33,5877,3098,198466,210429
509,Port Blair,193657,-0.26%,57,3397,3101,193198,188548
510,Dankuni,193310,0.83%,50,3866,3107,197901,226253
511,Karaikudi,193126,0.71%,28,6897,3109,197038,206892
512,Bohori,193105,1.32%,43,4491,3110,202752,261586
513,Akbarpur,192841,2.40%,39,4945,3113,222339,281452
514,Pakaur,192641,0.79%,29,6643,3119,197991,212926
515,Rangreth,192099,1.42%,40,4802,3128,208062,266430
516,Panaji,191882,0.50%,53,3620,3131,198440,212662
517,Chittoor,190988,2.38%,29,6586,3141,203860,227388
518,Deesa,190896,0.90%,17,11229,3143,204563,229735
519,Tarkeshwar,190547,9.31%,59,3230,3152,196041,283319
520,Phaphamau,190377,1.01%,30,6346,3156,202747,254401
521,Tirupattur,190260,0.86%,29,6561,3160,201642,249528
522,Parli,189364,1.37%,24,7890,3175,196035,209148
523,Kalna,189074,0.49%,27,7003,3180,205030,215155
524,Dinhata,188805,1.74%,21,8991,3188,199329,249352
525,Betul,188624,0.93%,20,9431,3192,197350,224345
526,Chittorgarh,188409,1%,35,5383,3203,200618,258567
527,Alipurduar,188104,0.89%,26,7235,3211,196407,217382
528,Domariaganj,187658,1.47%,67,2801,3217,201875,339287
529,Bandikui,187457,1.23%,28,6695,3220,203377,255962
530,Jehanabad,187144,0.90%,15,12476,3226,211519,263808
531,Machilipatnam,186232,-0.05%,21,8868,3243,185763,179216
532,Sultanganj,186175,5.65%,30,6206,3245,197495,236097
533,Meja Road,186137,4.13%,82,2270,3247,195534,369354
534,Katwa,185609,0.46%,18,10312,3253,189839,197742
535,Achalpur,185432,0.60%,22,8429,3254,189614,199972
536,Contai,184806,0.55%,34,5435,3259,189843,198629
537,Islampur,184756,0.30%,19,9724,3261,190452,194133
538,Kendrapara,184412,0.31%,15,12294,3268,187264,198950
539,Padmanabhapuram,184072,0.75%,44,4183,3275,202580,223913
540,Kadi,183747,5%,35,5250,3281,192918,219104
541,Bendaravadi,182740,0.12%,6,30457,3299,189649,200617
542,Krishnagiri,182684,0.73%,27,6766,3301,196084,220215
543,Daudnagar,182629,1.01%,18,10146,3304,198404,259355
544,Digha,182179,0.62%,22,8281,3307,187802,198968
545,Mahoba,182158,0.78%,19,9587,3308,187884,201333
546,Lanckhul,181878,8.51%,53,3432,3312,196734,249799
547,Sri Muktsar Sahib,181614,1.07%,20,9081,3317,189885,209577
548,Shahganj,181573,1.33%,46,3947,3318,195282,223486
549,Nalgonda,181364,0.37%,25,7255,3321,184718,192186
550,Bargarh,180982,2.41%,25,7239,3330,187593,220240
551,Ottapalam,180901,1.12%,41,4412,3334,190167,238283
552,Semapur,180033,1.43%,86,2093,3357,193063,266910
553,Turkaulia,179970,1.27%,63,2857,3360,197686,267276
554,Goalpara,179798,0.83%,31,5800,3364,187997,205220
555,Bhandara,179292,0.34%,21,8538,3376,182297,186516
556,Rajpura,179199,0.44%,25,7168,3378,184773,206327
557,Hanumanangarh Junction,179048,0.98%,28,6395,3380,187719,210601
558,Mokama,178984,1.07%,23,7782,3382,190772,224077
559,Hingoli,178960,0.89%,22,8135,3384,183953,194638
560,Matihani,178609,1.25%,38,4700,3388,194001,232848
561,Kotwa,177663,1.90%,66,2692,3402,211244,292684
562,Adilabad,177504,0.45%,16,11094,3405,183155,189938
563,Handia,176779,5.10%,77,2296,3415,269232,411515
564,Mandsaur,176588,0.99%,23,7678,3421,183827,200393
565,Udaipur,176421,0.67%,37,4768,3426,182271,199559
566,Islampur,176380,2.60%,27,6533,3428,192599,306630
567,Goroimari,176071,1.61%,67,2628,3435,183735,222075
568,Durgachak,175690,0.73%,63,2789,3441,182025,192514
569,Paroo,175622,4.03%,77,2281,3445,205174,247578
570,Deoband,175524,1.28%,16,10970,3447,185564,210321
571,Makrana,175281,0.99%,30,5843,3453,184006,245962
572,Khambhat,175044,0.89%,14,12503,3456,182736,200486
573,Godda,174971,1.16%,15,11665,3457,186807,234641
574,Baramati,174885,1.78%,34,5144,3461,183049,211158
575,Barnala,174847,0.85%,26,6725,3463,196579,220041
576,Tiruchengodu,174719,0.85%,26,6720,3469,192306,217928
577,Amalner,174631,0.84%,16,10914,3471,183661,209714
578,Sehore,174421,0.96%,16,10901,3476,181376,219599
579,Narasaraopet,174158,0.39%,15,11611,3479,177577,194093
580,Mannargudi,173845,0.45%,20,8692,3487,177733,185474
581,Shirpur,173732,1.84%,15,11582,3490,181368,208144
582,Bhadravathi,173274,1.04%,24,7220,3498,183774,209533
583,Mubarakpur,172980,0.90%,34,5088,3505,180724,223677
584,Kalgachia,172773,2.77%,89,1941,3509,230984,286564
585,Dabra,172065,0.95%,13,13236,3527,180393,205494
586,Mahuva,171859,0.74%,16,10741,3530,176796,195796
587,Borsad,171672,0.86%,13,13206,3533,179017,212002
588,Kolar,171583,0.62%,19,9031,3537,176896,190310
589,Bhawanipatna,170904,0.68%,16,10682,3545,176699,194649
590,Fatwah,170601,1.29%,22,7755,3549,181469,222600
591,Kaimganj,170579,2.09%,24,7107,3550,180448,212585
592,Muhammadabad Gohna,169968,1.86%,35,4856,3558,191671,256051
593,Vaddu,169868,0.51%,23,7386,3561,174159,181079
594,Hindupur,169724,1.77%,27,6286,3564,176332,193037
595,Chitrakoot Dham,169605,0.65%,23,7374,3566,176727,192935
596,Chirand,169348,1.33%,50,3387,3570,182236,224983
597,Thodupuzha,169038,1.23%,29,5829,3574,175168,195473
598,Lala Chhapra,168357,3.19%,61,2760,3587,182465,240053
599,Arakkonam,168096,0.59%,26,6465,3592,173061,190934
600,Ghatkesar,167897,7.51%,38,4418,3597,177097,197785
601,Robertsganj,167273,1%,15,11152,3612,178608,204219
602,Seoni,167040,0.33%,18,9280,3619,169748,175113
603,Narkatiaganj,166942,0.92%,17,9820,3623,174518,212856
604,Dakshin Gopalnagar,166852,5.70%,95,1756,3627,176500,211234
605,Phagwara,166422,0.63%,27,6164,3639,172397,178890
606,Amreli,166344,0.61%,21,7921,3643,171418,184326
607,Churachandpur,166168,0.79%,25,6647,3647,168838,172932
608,Barpeta,165937,1.12%,21,7902,3654,171912,229712
609,Baligawan,165019,10.51%,71,2324,3669,178967,224374
610,Sultan Bathery,164809,1.38%,39,4226,3674,171096,195754
611,Sendhwa,164765,1.20%,14,11769,3676,173161,216026
612,Sagorkuti,164710,1.58%,31,5313,3677,176075,214663
613,Chhibramau,164475,1.44%,20,8224,3683,171558,225575
614,Medinipur,163945,0.40%,21,7807,3694,169328,173779
615,Ranaghat,163785,1.11%,27,6066,3701,167591,176692
616,Raxaul,163674,3.24%,26,6295,3703,172817,212992
617,Chopda,163422,0.92%,9,18158,3710,170866,190075
618,Waria,162984,0.43%,55,2963,3714,166458,173641
619,Aurangabad,162358,1.18%,21,7731,3725,172109,206546
620,Washim,162030,0.52%,17,9531,3735,166257,174960
621,Kalol,161628,2.28%,20,8081,3743,167222,181214
622,Lalganj,161426,0.96%,34,4748,3748,171910,206255
623,Mandi Gobindgarh,160473,0.76%,31,5177,3773,165066,185587
624,Kalyanpur,160328,9.75%,67,2393,3775,176562,241147
625,Golaghat,159881,1.04%,18,8882,3787,162733,173213
626,Gajraula,159642,1.76%,16,9978,3793,172920,237202
627,Chamagram,158905,0.73%,54,2943,3811,176896,198646
628,Puranpur,158049,0.81%,12,13171,3828,165945,190226
629,Koyilandy,158004,0.78%,20,7900,3831,164109,182295
630,Kushinagar,157996,1.42%,32,4937,3832,176871,289070
631,Badarpur,157814,0.75%,27,5845,3839,172097,204699
632,Malerkotla,157661,1.29%,18,8759,3843,170697,195851
633,Halol,157480,1.09%,20,7874,3848,166157,225026
634,Kotdwar,157191,1.08%,24,6550,3855,167210,199308
635,Mandideep,156894,1.11%,21,7471,3859,168290,190979
636,Nalbari,156855,0.62%,21,7469,3861,161693,180149
637,Bundi,156802,1.31%,19,8253,3863,167077,190846
638,Dhenkanal,156674,0.31%,16,9792,3865,162936,166346
639,Virudhunagar,156655,0.56%,19,8245,3866,160998,170234
640,Singrimari,156607,1.10%,56,2797,3868,166468,197282
641,Shahabad,156497,0.86%,15,10433,3871,163206,182918
642,Sonbarsa Kacheri,156157,1.08%,69,2263,3880,168541,225479
643,Gondal,155777,1.80%,26,5991,3891,160854,174960
644,Sahebpur Kamal,155653,1.95%,37,4207,3894,165987,208643
645,Lumding,155479,0.79%,16,9717,3898,161820,174799
646,Khatauli,155433,0.94%,14,11102,3901,162650,198214
647,Gurdaspur,155337,0.52%,23,6754,3904,159328,178662
648,Chilakaluripet,155070,1.56%,21,7384,3907,160561,170116
649,Chakia,154876,4%,58,2670,3915,177283,267589
650,Samaguri,154667,2.02%,72,2148,3921,170833,226566
651,Hinganghat,154627,0.23%,14,11045,3924,156430,165193
652,Doddaballapura,154462,0.78%,24,6436,3929,162066,180434
653,North Lakhimpur,154408,0.58%,23,6713,3931,157390,171382
654,Bansi,154311,1.55%,39,3957,3933,167478,209998
655,Angul,154157,0.28%,33,4671,3934,157871,162061
656,Ukkunagaram Township,154126,0.31%,18,8563,3938,156472,159770
657,Venjaramoodu,153920,1.03%,42,3665,3944,158826,189720
658,Margao,153690,0.41%,50,3074,3947,158332,172545
659,Ramanathapuram,153408,0.36%,18,8523,3951,156160,160064
660,Mettur,153340,0.81%,31,4946,3952,158607,168856
661,Dhamtari,153179,1.34%,27,5673,3955,158120,173602
662,Guntakal,153162,0.26%,14,10940,3957,155114,158709
663,Colonelganj,153092,3%,49,3124,3958,160939,275862
664,Bolpur,152903,0.47%,25,6116,3961,156475,164310
665,Jalalpur,152660,4.56%,23,6637,3970,159340,281822
666,Raigarh,152612,1.23%,24,6359,3971,159262,174008
667,Gudivada,152443,-0.04%,15,10163,3975,152126,147154
668,Kolar Gold Fields,152361,0.91%,22,6926,3979,162719,184280
669,Gangavathi,152108,0.29%,16,9507,3983,154276,156693
670,Miryalaguda,151893,0.55%,18,8439,3986,154630,163401
671,Visnagar,151662,0.81%,17,8921,3996,159231,173939
672,Baripada,151330,0.50%,23,6580,4002,155074,162175
673,Gaddanakeri Tanda,151210,0.31%,18,8401,4006,153581,156134
674,Bagaha,151185,0.98%,31,4877,4008,158739,181798
675,Bairgania,151040,1.30%,44,3433,4011,160752,201501
676,Choudwar,150970,7.95%,32,4718,4012,153741,172430
677,Aruppukkottai,150821,0.82%,19,7938,4016,157538,167291
678,Tikamgarh,150433,0.65%,20,7522,4028,156907,178423
679,Garhwa,150420,2.31%,24,6268,4029,164217,194789
680,Baghua,150250,1.98%,61,2463,4037,196070,268914
681,Chandpur,149628,0.98%,13,11510,4051,166898,203043
682,Bairgachhi,148986,12.50%,61,2442,4071,221935,301788
683,Kuransarae,148265,1.40%,27,5491,4093,181928,214248
684,Nagda,148066,0.81%,14,10576,4099,155770,185144
685,Chikkamagaluru,147811,0.77%,23,6427,4108,153468,169996
686,Sahaspur,147779,1.01%,16,9236,4109,153749,169361
687,Tuni,147496,0.44%,18,8194,4120,149295,151441
688,Jamui,147481,1.07%,20,7374,4122,156879,191480
689,Rayagada,147449,0.28%,14,10532,4124,149539,153737
690,Faridkot,147445,1.23%,30,4915,4125,155092,184949
691,Suryapet,147409,0.39%,17,8671,4127,151872,158733
692,Chittaranjan,147243,0.73%,28,5259,4135,156415,167964
693,Narsinghpur,147194,0.56%,15,9813,4136,151272,164655
694,Raghunathpur,147149,1.54%,47,3131,4137,176569,205299
695,Abohar,146403,1.34%,22,6655,4157,151646,181019
696,Baghpat,146363,1.10%,12,12197,4162,154346,179344
697,Irinjalakuda,146147,0.66%,32,4567,4168,155391,171939
698,Bisalpur,146011,1.12%,10,14601,4172,157737,175044
699,Bakhri,145874,4.50%,40,3647,4179,167767,226090
700,Sangrur,145653,0.94%,20,7283,4189,152438,170718
701,Udumalaipettai,145550,0.64%,20,7278,4191,150223,159920
702,Jogapatti,145446,13.11%,57,2552,4195,156356,183356
703,Baran,145136,0.90%,18,8063,4206,156278,192368
704,Tekari,145097,6.29%,30,4837,4209,165216,217114
705,Chausa,144819,1.42%,39,3713,4215,154211,237751
706,Jetpur,144756,0.85%,20,7238,4217,149406,167906
707,Jagdalpur,144509,0.24%,18,8028,4227,146212,147947
708,Barshi,144412,0.48%,18,8023,4232,146389,148454
709,Koppala,144254,0.29%,17,8486,4234,146316,148599
710,Basoda,144218,0.61%,15,9615,4237,150119,165616
711,Botad,144180,0.75%,16,9011,4238,149589,169618
712,Harihara,143863,0.87%,23,6255,4244,151914,177296
713,Faridpur,143747,0.96%,14,10268,4247,149181,180737
714,Gohana,143745,1.44%,16,8984,4248,150249,177583
715,Baramulla,143059,1.25%,22,6503,4267,153552,184031
716,Narmadapuram,142861,1.12%,20,7143,4271,153548,176561
717,Pandharpur,142838,1.03%,20,7142,4273,144894,150321
718,Anpara,142827,1.27%,24,5951,4274,152320,171408
719,Mandla,142385,0.74%,21,6780,4287,147694,159362
720,Jajpur,142367,0.58%,14,10169,4288,149504,159436
721,Kalka,142230,0.62%,24,5926,4290,148186,156464
722,Tindivanam,140875,0.84%,17,8287,4332,145143,149311
723,Kamrej,140769,1.33%,33,4266,4335,148597,181502
724,Nabha,140500,0.65%,15,9367,4344,149485,162827
725,Pachora,140354,0.97%,12,11696,4349,147097,165667
726,Saktipur,140023,3.45%,32,4376,4359,144025,189237
727,Amalapuram,139782,-0.02%,16,8736,4366,139615,135519
728,Gumla,139746,1.87%,22,6352,4367,151271,189996
729,Haidarganj,139637,–,78,1790,4370,207146,364087
730,Coonoor,139569,0.62%,18,7754,4372,143885,155375
731,Kapurthala,139239,0.48%,23,6054,4381,142554,151217
732,Dharmavaram,138728,0.51%,14,9909,4393,147038,158639
733,Seohara,138679,0.98%,9,15409,4395,145391,167170
734,Tadepallegudem,138612,-0.04%,19,7295,4396,138311,133568
735,Dhekiajuli,138299,1.94%,18,7683,4402,142799,164126
736,Phalodi,138221,1.13%,15,9215,4406,144496,162651
737,Islampur,137998,0.85%,12,11500,4412,145331,172907
738,Neemuch,137789,1.24%,17,8105,4420,150355,170564
739,Raghopur,137683,1.27%,32,4303,4424,146320,187708
740,Itarsi,137187,0.90%,17,8070,4445,143337,165374
741,Pithampur,137042,1.71%,23,5958,4448,153220,186100
742,Shahapur,136791,1.13%,15,9119,4455,146027,173047
743,Sheikhpura,136618,1.18%,17,8036,4464,146145,184071
744,Kothagudem,136548,-0.05%,14,9753,4465,136232,131424
745,Balaghat,136434,0.50%,21,6497,4470,141229,157254
746,Ramganj Mandi,135983,1.23%,33,4121,4486,144368,200055
747,Emmiganuru,135977,0.26%,10,13598,4487,137719,140985
748,Kairana,135916,1.22%,10,13592,4488,142906,175564
749,Hailakandi,135647,0.54%,11,12332,4492,139261,147300
750,Gopalganj,135528,1.96%,20,6776,4497,142511,195674
751,Mangaldoi,135457,0.86%,22,6157,4499,139790,160975
752,Sahibganj,135449,0.55%,15,9030,4500,139171,146647
753,Siddipet,134919,0.35%,15,8995,4518,138814,149891
754,Palakollu,134600,-0.03%,16,8413,4523,134396,130338
755,Anakapalle,134491,0.47%,17,7911,4528,136191,140150
756,Narasapuram,134462,-0.01%,20,6723,4529,134367,130718
757,Yadgir,134251,0.50%,12,11188,4533,137616,153145
758,Rajsamand,134039,1.39%,41,3269,4544,142077,165227
759,Deganga,134002,1.98%,56,2393,4546,146730,160169
760,Mahwal,133907,4.99%,71,1886,4549,167385,227207
761,Palghar,133887,1.19%,17,7876,4550,151710,180420
762,Jagtial,133550,0.48%,16,8347,4565,135679,142951
763,Salempur,133526,1.14%,24,5564,4566,142313,168064
764,Harsidhi,132769,2.07%,50,2655,4597,169209,235667
765,Thiruvarur,132731,0.49%,23,5771,4599,135956,148593
766,Khanna,132643,0.68%,24,5527,4601,135720,143057
767,Sagauli,132522,2.39%,41,3232,4608,150820,201954
768,Bhaptiyahi,132340,1.74%,52,2545,4618,162558,214438
769,Nanjanagudu,132068,0.88%,14,9433,4630,137846,153055
770,Falakata,131941,1.12%,17,7761,4634,150202,186237
771,Kunda,131666,3.90%,32,4115,4639,143731,178966
772,Tanuku,131195,-0.03%,15,8746,4656,130989,126872
773,Biswan,131106,1.77%,13,10085,4661,140234,172092
774,Ambasamudram,130806,0.84%,20,6540,4668,134836,142766
775,Renukoot,130447,1.02%,16,8153,4677,136755,157241
776,Kotputli,130378,1.47%,17,7669,4682,142360,162411
777,Shahdol,130204,0.74%,19,6853,4687,133526,143020
778,Balia,130110,1.38%,20,6506,4690,137671,162308
779,Sandila,130012,0.63%,9,14446,4695,139148,160401
780,Ranebennur,129286,0.86%,13,9945,4726,133402,143556
781,Simla,129242,0.69%,38,3401,4728,133744,143273
782,Tufanganj,129052,1.91%,14,9218,4736,139028,159669
783,Badkulla,128858,0.73%,14,9204,4740,132022,137451
784,Nanpur,128824,1.26%,31,4156,4741,145421,192709
785,Akot,128771,0.40%,9,14308,4743,136166,142497
786,Hansi,128769,0.84%,16,8048,4744,136631,158217
787,Anand Nagar,128460,2.24%,30,4282,4756,164938,250396
788,Iltifatganj,128392,1.43%,25,5136,4759,141366,167506
789,Chunar,128237,1.62%,30,4275,4764,134744,169417
790,Kailashahar,127986,0.92%,34,3764,4778,133997,148553
791,Villukuri,127898,0.70%,34,3762,4782,138224,161631
792,Kottarakkara,127850,3.16%,25,5114,4784,132251,167256
793,Karaikal,127809,0.43%,28,4565,4787,133469,141314
794,Sujangarh,127788,0.76%,18,7099,4788,131236,142009
795,Shrirampur,127779,1.29%,21,6085,4789,133200,162362
796,Shahpura,127710,0.64%,7,18244,4791,131742,143415
797,Omanoor,127587,0.72%,59,2162,4797,145572,161715
798,Narnaul,127349,1.17%,20,6367,4804,133313,166106
799,Gobichettipalayam,127282,0.56%,22,5786,4806,130855,139065
800,Bhurkunda,126967,1.22%,32,3968,4816,137692,188344
801,Chaibasa,126936,0.49%,14,9067,4818,130055,141279
802,Malkapur,126837,0.46%,12,10570,4821,133097,141720
803,Kerakat,126779,2.16%,48,2641,4823,153992,212639
804,Bapatla,126759,1.01%,18,7042,4824,130190,137316
805,Modasa,126632,0.76%,14,9045,4828,132929,165016
806,Sherkot,126357,0.83%,7,18051,4838,131556,146465
807,Chamarajanagara,126300,0.79%,13,9715,4842,131279,150258
808,Sangamner,126244,0.70%,19,6644,4844,137512,159326
809,Chauri Chaura,126176,2.22%,39,3235,4847,168762,332243
810,Jeypore,126124,0.54%,12,10510,4851,127718,131154
811,Tarn Taran Sahib,126059,2.22%,28,4502,4854,129793,140034
812,Nawanagar,126039,1.30%,34,3707,4855,134117,160199
813,Kundapura,125304,0.86%,41,3056,4882,130654,144007
814,Paradip,125294,0.78%,38,3297,4883,130736,175210
815,Sarai Mir,125278,5.01%,35,3579,4884,151860,188604
816,Aonla,125273,1.08%,8,15659,4886,130524,145404
817,Kothamangalam,125140,1.10%,27,4635,4897,133544,152190
818,Tadipatri,125072,0.51%,24,5211,4899,131747,138269
819,Rajim,125059,0.61%,16,7816,4900,128859,142656
820,Punalur,124941,2.59%,18,6941,4903,132441,148481
821,Bari,124847,0.63%,8,15606,4909,128749,138809
822,Laharpur,124725,0.86%,8,15591,4913,131584,148226
823,Vasco da Gama,124550,0.81%,46,2708,4917,127403,131598
824,Chikhli,124108,0.50%,9,13790,4929,131835,154183
825,Basmat,124055,0.46%,10,12406,4932,126867,132768
826,Karwar,123784,0.34%,16,7737,4947,125941,130916
827,Neragyatanahalli,123403,0.08%,3,41134,4961,123920,147299
828,Patherwa,123138,3.51%,57,2160,4975,131375,249840
829,Zaheerabad,122826,0.94%,14,8773,4986,126313,135428
830,Sindhanur,122821,0.25%,11,11166,4987,124366,127505
831,Sinnar,122647,0.86%,20,6132,4992,127862,145746
832,Karanja,122638,0.49%,10,12264,4994,125614,131941
833,Pakaria,122517,2.36%,35,3500,5001,130317,218933
834,Churu,122411,0.53%,16,7651,5006,130276,145128
835,Pithoragarh,122399,1.12%,14,8743,5008,127690,148660
836,Mahagama,122313,4.73%,32,3822,5011,130226,253342
837,Phulidumar,122053,5.18%,49,2491,5021,184607,304219
838,Paramakkudi,121824,0.49%,16,7614,5027,124789,129883
839,Mohammadabad,121589,1.37%,19,6399,5038,127109,197459
840,Saidpur,121560,12.65%,44,2763,5039,127428,262161
841,Taranagar,121538,9.23%,51,2383,5043,173527,258263
842,Sheopur,121483,1.23%,13,9345,5048,127417,158727
843,Jaigaon,121471,0.94%,8,15184,5049,127115,139822
844,Jaysingpur,121412,0.30%,17,7142,5051,123242,125320
845,Tilhar,121299,0.72%,9,13478,5056,125650,152030
846,Panruti,121271,0.43%,19,6383,5059,123864,127772
847,Azara,121240,3.91%,40,3031,5062,129658,144186
848,Mannarkkad,121117,1.30%,25,4845,5066,125465,153901
849,Dholka,120980,0.85%,16,7561,5072,127605,143294
850,Dhar,120681,1.32%,14,8620,5085,125919,149555
851,Majalgaon,120675,0.50%,14,8620,5089,123652,129866
852,Baheri,120297,1.14%,10,12030,5108,125770,158536
853,Neem Ka Thana,119986,1.05%,16,7499,5118,129177,150427
854,Pattambi,119867,0.96%,29,4133,5125,129866,145890
855,Bihta,119862,2.03%,21,5708,5126,128745,162557
856,Jotsoma,119779,0.06%,5,23956,5129,120158,119847
857,Maihar,119693,1.41%,15,7980,5133,125116,140560
858,Chintamani,119533,0.89%,10,11953,5138,123425,135661
859,Bishwanath Charaili,119516,0.71%,19,6290,5140,126177,137036
860,Kosi Kalan,119418,1.03%,12,9952,5144,127122,147286
861,Bandipora,119367,1.80%,31,3851,5147,131136,164739
862,Alibag,119265,1.30%,18,6626,5150,127473,145849
863,Jhalawar,119246,0.85%,13,9173,5151,124298,234305
864,Nirmal,118694,0.47%,15,7913,5173,121490,129916
865,Marigaon,118572,0.81%,13,9121,5182,122015,138577
866,Shantipur,118319,0.44%,18,6573,5195,120925,124942
867,Thoubal,118160,5.21%,31,3812,5205,120319,123526
868,Ujhani,118107,0.77%,11,10737,5208,122642,148911
869,Pukhrayan,117969,0.91%,16,7373,5214,123392,133390
870,Arambagh,117956,0.47%,14,8425,5215,120733,131369
871,Pipariya,117812,0.81%,9,13090,5220,124221,150890
872,Duliajan,117768,0.42%,21,5608,5223,120241,124744
873,Parasia,117735,0.36%,12,9811,5224,119836,123079
874,Palani,117661,0.54%,17,6921,5226,120822,128025
875,Channapattana,117564,0.63%,14,8397,5233,122774,149936
876,Patori,117532,1.29%,25,4701,5235,126720,182632
877,Gadarwara,117297,0.73%,10,11730,5240,123969,134028
878,Ilkal,117175,0.55%,18,6510,5243,118902,120864
879,Fatehpur Shekhawati,117081,0.52%,13,9006,5245,121648,134528
880,Kathara,117002,0.57%,28,4179,5249,174649,183893
881,Makhdumpur,116949,3.56%,27,4331,5253,123777,201080
882,Sircilla,116696,0.35%,15,7780,5264,118706,123762
883,Hubli,116670,0.14%,35,3333,5265,117485,118963
884,Nautanwa,116313,1.45%,12,9693,5278,123197,139499
885,Mankachar,116276,0.66%,15,7752,5280,120065,133263
886,Atri,116097,5.66%,35,3317,5285,125184,153419
887,Ambah,116073,0.68%,8,14509,5287,124854,138598
888,Sekhu,115531,1.77%,16,7221,5317,120374,151763
889,Mauranipur,115334,0.62%,11,10485,5325,118865,138376
890,Madhupur,115301,1.89%,18,6406,5327,121104,129799
891,Gunnowal,115292,0.62%,21,5490,5329,120844,134227
892,Bayana,115287,0.81%,10,11529,5330,124243,138789
893,Kapadvanj,115270,0.81%,9,12808,5331,121626,142256
894,Lohardaga,115182,1.43%,18,6399,5337,130395,161046
895,Virudhachalam,115011,0.36%,11,10456,5344,118595,123139
896,Cumbum,114971,0.45%,10,11497,5348,117547,123373
897,Kandi,114941,0.55%,21,5473,5351,133246,139705
898,Kamareddy,114856,0.32%,11,10441,5355,118233,121521
899,Fazilka,114831,0.75%,13,8833,5358,119101,135994
900,Chiplun,114804,0.31%,16,7175,5359,119508,121951
